Id,Biome,Color,Habitability,Cells,Area mi2,Population
11,Glacier,#d5e7eb,0%,1698,782896,27513
12,Wetland,#0b9131,12%,1645,649520,5678970
8,Temperate rainforest,#409c43,90%,1347,577044,1051815
6,Temperate deciduous forest,#29bc56,100%,1158,560804,27750
9,Taiga,#4b6b32,12%,799,362992,14237
4,Grassland,#c8d68f,30%,522,256804,8000
7,Tropical rainforest,#7dcb35,80%,519,197700,254565
5,Tropical seasonal forest,#b6d95d,50%,510,206172,4034020
10,Tundra,#96784b,4%,346,149564,4000
3,Savanna,#d2d082,22%,194,88580,91000
2,Cold desert,#b5b887,10%,74,39488,3000
1,Hot desert,#fbe79f,4%,45,22660,0
